post_id,GPT4o_mini,GPT4o,Llama3_3_70B,Llama3_1_8B,Claude_Sonnet_4_5,Claude_Haiku_4_5
bkhtr4,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
co5wtp,DIPLOMACY,DIPLOMACY,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY
egogbm,NEUTRAL,THREAT,THREAT,THREAT,THREAT,NEUTRAL
ddcymd,DIPLOMACY,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
agf559,NEUTRAL,NEUTRAL,NEUTRAL,,NEUTRAL,NEUTRAL
7g7kf1,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8k7lmz,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
705mkx,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7g7hx7,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cs5v7a,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
6ld385,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8vfssy,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
dc3iw3,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
67b7k7,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
79tdwf,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,THREAT,ECONOMIC
8ax58d,DIPLOMACY,DIPLOMACY,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY
8821ce,THREAT,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
660f4f,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,DIPLOMACY,HUMANITARIAN,HUMANITARIAN
9wgj82,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7igxi5,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7kgvlb,ECONOMIC,THREAT,ECONOMIC,ECONOMIC,THREAT,THREAT
9gnitg,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
a16gf3,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
7143lz,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
8php0u,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
766kwp,ECONOMIC,ECONOMIC,ECONOMIC,NEUTRAL,ECONOMIC,ECONOMIC
7ijhv6,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6yguxz,DIPLOMACY,DIPLOMACY,THREAT,THREAT,DIPLOMACY,DIPLOMACY
agga4j,HUMANITARIAN,DIPLOMACY,NEUTRAL,DIPLOMACY,HUMANITARIAN,NEUTRAL
889ffe,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6cg6ba,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6lakxf,THREAT,THREAT,DIPLOMACY,THREAT,THREAT,THREAT
6xzw8v,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8dy0zf,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
crdt5f,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
8j8lml,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9kpe0y,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cvkv16,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
9u2qf7,THREAT,THREAT,THREAT,,THREAT,THREAT
dcjxzm,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8j109g,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7bjg08,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6spnk1,THREAT,THREAT,THREAT,,THREAT,THREAT
cl1klh,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bquqka,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
8fpcwf,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6mmg84,THREAT,THREAT,THREAT,DIPLOMACY,THREAT,THREAT
76ennb,THREAT,THREAT,THREAT,,THREAT,THREAT
6seus9,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6x0s32,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8vnodw,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9kyp86,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9ckmle,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
688rza,DIPLOMACY,THREAT,THREAT,THREAT,THREAT,THREAT
8g4v4q,HUMANITARIAN,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
9v1x5k,NEUTRAL,THREAT,ECONOMIC,ECONOMIC,NEUTRAL,ECONOMIC
deszoo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
75pfwb,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
dwlwwk,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
64a37t,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
dz629b,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,,HUMANITARIAN,HUMANITARIAN
6s24ct,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
89bxf3,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
au6jbb,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7dz0to,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bswieu,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8fqiqg,THREAT,THREAT,DIPLOMACY,THREAT,DIPLOMACY,THREAT
8n0ii4,THREAT,THREAT,THREAT,THREAT,DIPLOMACY,THREAT
7cqs13,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6xa9ur,THREAT,THREAT,THREAT,THREAT,THREAT,HUMANITARIAN
8yevnk,NEUTRAL,NEUTRAL,NEUTRAL,,NEUTRAL,NEUTRAL
c8h3l1,THREAT,THREAT,THREAT,THREAT,DIPLOMACY,THREAT
di6xd8,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
cqaek4,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN
8d3b0g,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9qi8zs,THREAT,THREAT,THREAT,,THREAT,NEUTRAL
cbm8w0,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
7nwh0q,THREAT,,THREAT,,THREAT,THREAT
acl321,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bkfujs,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7a9m4l,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
crfaad,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
72v1zd,DIPLOMACY,DIPLOMACY,THREAT,THREAT,DIPLOMACY,DIPLOMACY
9lnm6o,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7icwqk,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8m9wcx,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
dnghlq,NEUTRAL,NEUTRAL,HUMANITARIAN,,NEUTRAL,NEUTRAL
8gmevj,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
6qbkeb,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
